"id","name","packaging_signalled","bottlesize_signalled","fill_level_signalled","state_signalled","bottlesize_l","fill_level","state","packaging","sold","price"
43195,"Foradori Teroldego Granato 1996 0,75 l",NULL,1,1,1,0.75,"ts","ts","None",1,165
43196,"Maculan Acininobili 1991 0,375 l(2)",NULL,1,1,1,0.37,"ts","ts, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt","None",1,70
43197,"Broadbent Vintage Port 1994 0,75 l",NULL,1,1,1,0.75,"ts","ts","None",1,220
43198,"Dalva Late Bottled Vintage Port 1994 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten ganz leicht verschmutzt","None",1,110
43199,"Dalva Vintage Port 2000 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etiketten ganz leicht beschädigt","None",1,110
43200,"Dow´s Vintage Port 1994 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etiketten ganz leicht beschädigt","None",1,150
43201,"Fonseca Vintage Port 1997 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt","None",1,155
43203,"Graham´s Vintage Port 1977 0,75 l(1)",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht verschmutzt","None",1,200
43204,"Marthas Colheita Port 1977 0,75 l(1)",NULL,1,1,1,0.75,"in","in","None",1,205
43205,"Domaine Vincent et Francois Jouard Chassagne-Montrachet Chaumees Clos de la Truffiere Vieilles Vignes 1er Cru 2019 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,300
43206,"Kay Brothers Amery Vineyards Hillside Shiraz 2005 0,75 l",NULL,1,1,1,0.75,"in","in","None",NULL,0
43207,"Weil, Robert Kiedricher Gräfenberg Riesling Beerenauslese 2005 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,220
43208,"Chateau Clerc-Milon Rothschild 2000 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten leicht verschmutzt","None",1,210
43209,"Clarendon Hills Grenache Old Vines ""Clarendon Vineyard"" 1997 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",NULL,0
43210,"Anakota Helena Montana Vineyard Cabernet Sauvignon 2014 0,75 l",NULL,1,1,1,0.75,"in","in","None",1,450
