"id","name","sold","bottlesize_l","winpoints_signalled"
23310,"Turley Cellars Zinfandel Pesenti 2004 0,75 l",1,0.75,1
23311,"Il Molino di Grace Chianti Classico Gran Selezione Il Margone 2012 0,75 l",NULL,0.75,NULL
23312,"Il Molino di Grace Chianti Classico Gran Selezione Il Margone 2012 0,75 l",NULL,0.75,NULL
23313,"Chateau Cantemerle Villeneuve de Cantemerle, 2e Vin de Cantemerle 1986 0,75 l(2)",1,0.75,NULL
23314,"Haskell Vineyards Anvil Chardonnay 2018 0,75 l",1,0.75,NULL
23315,"Bodegas Gallego Zapatero Yotuel Vinas Viejas 2005 1,5 l",1,1.5,NULL
23316,"Mumm Cuvee Rene Lalou Brut 1999 0,75 l",1,0.75,NULL
23317,"Domaine Leflaive Batard Montrachet Grand Cru 2000 0,75 l",1,0.75,1
23318,"Heymann Löwenstein Winninger Uhlen Laubach Riesling Erste Lage 2005 0,75 l",NULL,0.75,1
23486,"Domaine Dublere Corton Charlemagne Grand Cru 2008 0,75 l",1,0.75,NULL
23319,"Chateau Marquis-de-Terme 1991 0,75 l(1)",NULL,0.75,NULL
23320,"Weil, Robert Kiedricher Gräfenberg Riesling Auslese 2009 0,375 l",NULL,0.37,1
23321,"Clos des Papes, Avril Chateauneuf-du-Pape 2010 0,75 l",NULL,0.75,1
23322,"Heinrich, Gernot Pannobile 2001 0,75 l(1)",NULL,0.75,NULL
23323,"Calissano Barbaresco Riserva Speciale 1968 0,75 l(1)",NULL,0.75,NULL
23324,"Chateau Mayne Lalande 2004 0,75 l",NULL,0.75,NULL
23325,"Chateau Balestard la Tonelle 1986 0,75 l(5)",NULL,0.75,NULL
23326,"Römerhof Kollwentz Steinzeiler 1997 0,75 l(1)",NULL,0.75,NULL
23327,"Billecart Salmon Cuvee Nicolas Francois Billecart Brut 1990 0,75 l",NULL,0.75,NULL
23328,"Vieux Chateau Certan 1997 0,75 l",1,0.75,1
23329,"Moet & Chandon Dom Perignon Rosé Brut 2000 1,5 l",1,1.5,1
23330,"Quinta do Crasto Vinha Maria Teresa 2011 0,75 l",1,0.75,1
23331,"Ziereisen Rhini Spätburgunder 2007 0,75 l",1,0.75,NULL
23332,"Chateau Pichon Longueville Baron 1999 0,75 l(1)",1,0.75,1
23333,"Kracher / Schwarz / Krankl Schwarz - Rot 2004 0,75 l(1)",1,0.75,1
23334,"Chateau Rauzan-Gassies 1989 0,75 l",1,0.75,NULL
23335,"Weingut Igler Blaufränkisch Classic 2015 0,75 l",NULL,0.75,NULL
23336,"Hirtzberger, Franz Spitzer Singerriedel Riesling Smaragd 2014 1,5 l",1,1.5,1
23337,"Weingut Pfeffingen Ungsteiner Herrenberg Riesling Großes Gewächs 2011 0,75 l",1,0.75,NULL
23338,"Veuve Clicquot Ponsardin La Grande Dame Brut 1985 0,75 l",NULL,0.75,1
23339,"Veuve Clicquot Ponsardin La Grande Dame Brut 1990 0,75 l",1,0.75,1
23340,"Veuve Clicquot Ponsardin La Grande Dame Brut 1990 0,75 l",1,0.75,1
23341,"Veuve Clicquot Ponsardin La Grande Dame Brut 1993 0,75 l",1,0.75,NULL
23342,"Veuve Clicquot Ponsardin La Grande Dame Brut 1993 0,75 l",1,0.75,NULL
23343,"Weingut Müller-Catoir Haardter Bürgergarten Riesling Erste Lage 2017 0,75 l",1,0.75,NULL
23344,"Moet & Chandon Dom Perignon Brut 2008 0,75 l",1,0.75,1
23345,"Vernay, Georges Cote Rotie Maison Rouge  2009 0,75 l",1,0.75,1
23346,"Ar.Pe.Pe. Sassella Rocce Rosse 2007 3,0 l",1,3,1
23347,"Gaja, Angelo Barolo Sperss 2001 0,75 l",1,0.75,1
23348,"Sine Qua Non Dark Blossom Syrah 2011 0,75 l",1,0.75,1
23349,"Sine Qua Non Dark Blossom Syrah 2011 0,75 l",1,0.75,1
23350,"Sine Qua Non Five Shooter Syrah 2010 0,75 l",1,0.75,1
23351,"Sine Qua Non Five Shooter Syrah 2010 0,75 l",1,0.75,1
23352,"Moet & Chandon Dom Perignon Brut 1990 0,75 l",1,0.75,1
23353,"Veuve Clicquot Ponsardin La Grande Dame Brut 1990 0,75 l",1,0.75,1
23354,"De Lisio Grenache 2005 0,75 l",NULL,0.75,1
23355,"Moet & Chandon Dom Perignon Brut 1966 0,75 l",1,0.75,1
23356,"Moet & Chandon Dom Perignon Brut 1966 0,75 l",1,0.75,1
23357,"Moet & Chandon Dom Perignon Brut 1973 0,75 l",1,0.75,NULL
23358,"Domaine du Vieux Telegraphe (Brunier) Chateauneuf-du-Pape ""La Crau"" 1996 0,75 l(1)",NULL,0.75,NULL
23359,"Weingut Keller Frauenberg Spätburgunder Grosses Gewächs 2009 0,75 l",NULL,0.75,NULL
23361,"Moueix, Chr./John Daniel Society Dominus 2003 0,75 l",1,0.75,1
23362,"Chateau La Conseillante 1986 0,75 l(1)",1,0.75,1
23363,"Calissano Barbaresco Riserva Speciale 1969 0,75 l",1,0.75,NULL
23364,"Chateau Clos de Sarpe 2000 0,75 l",1,0.75,1
23365,"Weingut Müller-Catoir Haardter Mandelring Scheurebe Eiswein 1990 0,375 l",1,0.37,NULL
23366,"Weingut Keller Monsheimer Silberberg Rieslaner Beerenauslese   2008 0,375 l",NULL,0.37,NULL
23367,"Roederer, Louis Cristal Brut 2007 0,75 l",1,0.75,1
23368,"Roederer, Louis Cristal Brut 1990 0,75 l",1,0.75,1
23369,"Roederer, Louis Cristal Brut 1990 0,75 l",1,0.75,1
23370,"Roederer, Louis Cristal Brut 1990 0,75 l",1,0.75,1
23371,"Roederer, Louis Cristal Brut 1990 0,75 l",1,0.75,1
23372,"Roederer, Louis Cristal Brut 1990 0,75 l",1,0.75,1
23373,"Roederer, Louis Cristal Brut 1990 0,75 l",1,0.75,1
23374,"Roederer, Louis Cristal Brut 1990 0,75 l",1,0.75,1
23375,"Roederer, Louis Cristal Brut 1990 0,75 l",1,0.75,1
23376,"Roederer, Louis Cristal Brut 1990 0,75 l",1,0.75,1
23377,"Roederer, Louis Cristal Brut 1990 0,75 l",1,0.75,1
23378,"Weingut Franz Künstler Hochheimer Reichestal Spätburgunder Grosses Gewächs 2013 0,75 l",1,0.75,1
23379,"Domaine Armand Rousseau Clos de la Roche Grand Cru 1990 0,75 l",1,0.75,1
23380,"Chateau Batailley 2005 0,75 l",1,0.75,1
23381,"Niepoort Vintage Port ""Secundum"" 1999 0,75 l(2)",1,0.75,NULL
23382,"Argiolas Turriga 2002 0,75 l",1,0.75,NULL
23383,"Niepoort Late Bottled Vintage Port 1994 0,75 l",1,0.75,NULL
23384,"Clerget Beaune Bressandes 1er Cru 1995 0,75 l(5)",1,0.75,NULL
23385,"Bodegas Gallego Zapatero Yotuel Finca La Nava 2008 0,75 l(3)",NULL,0.75,NULL
23386,"Chateau Sociando-Mallet 2010 0,75 l(1)",1,0.75,1
23387,"Heredia, Lopez Vina Tondonia Reserva blanco  1991 0,75 l(2)",1,0.75,NULL
23388,"Chateau d´Armailhac 1990 0,75 l",1,0.75,NULL
23389,"Chateau Mouton-Rothschild 1989 0,75 l",1,0.75,1
23390,"Chateau l´Evangile 1994 0,75 l",NULL,0.75,1
23391,"Bodegas Vega Sicilia Unico Gran Reserva 1987 0,75 l",1,0.75,1
23392,"Bodegas Vega Sicilia Unico Gran Reserva 1987 0,75 l",1,0.75,1
23393,"Bodegas Vega Sicilia Unico Gran Reserva 1987 0,75 l",1,0.75,1
23394,"Bodegas Vega Sicilia Unico Gran Reserva 1987 0,75 l",1,0.75,1
23395,"Bodegas Vega Sicilia Unico Gran Reserva 1989 0,75 l",1,0.75,1
23396,"Chateau Musar  Chateau Musar (rot) 1982 0,75 l(1)",1,0.75,NULL
23397,"Domaine de La Vieille Julienne Chateauneuf-du-Pape Cuvee Reserve 2000 0,75 l",1,0.75,1
23398,"Chateau Palmer Reserve du General, 2e vin de Palmer 1989 0,75 l",1,0.75,NULL
23487,"Germanier, Jean-Rene Syrah du Valais Cayas Reserve 2004 0,75 l(1)",NULL,0.75,NULL
23399,"Domaine Giraud Chateauneuf-du-Pape Les Grenaches de Pierre 2001 0,75 l(1)",NULL,0.75,1
23400,"Jacob´s Vineyard Cabernet-Sauvignon 2014 0,75 l(5)",NULL,0.75,NULL
23401,"Chateau Palmer 1998 0,75 l",1,0.75,1
23402,"Chateau Beauregard 1998 0,75 l(1)",1,0.75,NULL
23403,"Chateau Mouton-Rothschild 2003 0,75 l",1,0.75,1
23404,"Clape, Auguste Cornas 2002 0,75 l",1,0.75,NULL
23405,"Chateau Haut Rocher 2000 1,5 l",1,1.5,NULL
23406,"Leitz, Josef Rüdesheimer Berg Rottland Riesling ""Alte Reben"" trocken 2006 0,75 l(6)",1,0.75,NULL
23407,"Antinori Tignanello 2012 1,5 l",1,1.5,1
23408,"Chateau Puy Blanquet 2015 0,75 l",1,0.75,NULL
23409,"Chateau La Serre 2015 0,75 l",1,0.75,1
23410,"Feiler-Artinger Pinot Noir Gertberg 2006 0,75 l",1,0.75,NULL
23411,"Heinrich, Gernot Blaufränkisch Alter Berg 2011 0,75 l",NULL,0.75,NULL
23412,"Heinrich, Gernot Blaufränkisch Alter Berg 2012 0,75 l",NULL,0.75,NULL
23413,"Heinrich, Gernot Blaufränkisch Alter Berg 2014 0,75 l",NULL,0.75,NULL
23414,"Heinrich, Gernot Blaufränkisch Alter Berg 2014 0,75 l",NULL,0.75,NULL
23415,"Heinrich, Gernot Blaufränkisch Alter Berg 2014 0,75 l",NULL,0.75,NULL
23416,"Heinrich, Gernot Blaufränkisch Alter Berg 2014 0,75 l",NULL,0.75,NULL
23417,"Moric Neckenmarkt Blaufränkisch Alte Reben 2003 0,75 l",1,0.75,1
23418,"Ceretto Barolo ""Bricco Rocche"" 1989 0,75 l",1,0.75,1
23419,"Chateau Guiraud 1996 0,75 l",1,0.75,NULL
23420,"Chateau Lafaurie Peyraguey 1986 0,75 l",1,0.75,NULL
23421,"Chateau Mouton-Rothschild 1992 0,75 l",NULL,0.75,NULL
23422,"Antinori Guado al Tasso 1995 1,5 l",1,1.5,NULL
23423,"Deutz Amour de Deutz Brut 2007 0,75 l",1,0.75,1
23424,"Potel, Nicolas Echezeaux Grand Cru 2006 0,75 l",1,0.75,1
23425,"Chateau Cantemerle 1989 0,75 l(5)",1,0.75,1
23426,"Chateau Cambon la Pelouse 2007 1,5 l",NULL,1.5,NULL
23427,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 1992 0,75 l(11)",1,0.75,NULL
23428,"Chateau Beaumont 1989 0,75 l",NULL,0.75,NULL
23429,"Chateau Bon Pasteur 1990 0,75 l(1)",1,0.75,1
23430,"Domaine G. Roumier Chambolle Musigny Les Amoureuses 1er Cru 1982 0,75 l",1,0.75,NULL
23431,"Barthelme Blanck Gewürztraminer Reserve Altenburg 1985 0,75 l",NULL,0.75,NULL
23432,"Hirtzberger, Franz Setzberg Riesling Smaragd 2016 0,75 l(1)",1,0.75,1
23433,"Hirtzberger, Franz Spitzer Honivogl Grüner Veltliner Smaragd 2001 0,75 l",1,0.75,1
23434,"Chateau Lynch-Bages 1985 0,75 l",1,0.75,1
23435,"Chateau Pavie 1990 0,75 l",1,0.75,1
23436,"Chateau Peyreau 1995 0,75 l",1,0.75,NULL
23437,"Lageder, Alois Cabernet Löwengang 2006 0,75 l",NULL,0.75,NULL
23438,"Baron de Ley Reserva 2000 0,75 l(1)",1,0.75,NULL
23439,"Chateau Villars 1995 0,75 l(10)",NULL,0.75,NULL
23440,"Chateau Mouton-Rothschild 1987 0,75 l",1,0.75,NULL
23441,"Chateau Cos d´Estournel 1997 0,75 l",1,0.75,NULL
23442,"Chateau de Beaucastel Chateauneuf-du-Pape 1988 0,75 l(1)",1,0.75,1
23443,"Weingut Emrich Schönleber Monzinger Frühlingsplätzchen Riesling Grosses Gewächs 2012 0,75 l(1)",1,0.75,NULL
23444,"Chateau Latour 1990 0,75 l",1,0.75,1
23445,"Domaine Saint-Ser Cuvee Prestige Rouge 2014 0,75 l",1,0.75,NULL
23446,"Bodegas Muga Torre Muga   2014 0,75 l",1,0.75,1
23447,"Chateau Lafite-Rothschild 2012 0,75 l",1,0.75,1
23448,"Chateau Canon-La-Gaffeliere 1994 0,75 l",1,0.75,1
23449,"Domaine Ostertag Heissenberg Riesling 2007 0,75 l",1,0.75,NULL
23450,"Domaine Laffont Hecate 2007 0,75 l",1,0.75,NULL
23451,"Gosset Grand Millesime Rose Brut 1989 0,75 l",1,0.75,NULL
23452,"Gratien, Alfred Cuvee Paradis Brut NV 0,75 l",1,0.75,NULL
23453,"San Giusto a Rentennano Percarlo 2003 0,75 l",1,0.75,NULL
23454,"Antinori Solaia 1978 0,75 l",NULL,0.75,NULL
23455,"Chateau St. Georges 1985 3,0 l",1,3,NULL
23549,"Bodegas Riojanas Monte Real Gran Reserva 1973 0,75 l(1)",1,0.75,NULL
23456,"Chateau Montrose 1990 0,75 l",1,0.75,1
23457,"Chateau de Laubade Bas Armagnac 1935 0,7 l",1,0.7,NULL
23458,"Chateau du Cedre Le Cedre 1999 0,75 l",1,0.75,NULL
23459,"Rocca, Bruno Barbaresco Rabaja 2000 1,5 l",1,1.5,1
23460,"Castellare Coniale 1991 0,75 l(1)",NULL,0.75,NULL
23461,"Chateau Potensac 1990 0,75 l",1,0.75,NULL
23462,"Scavino, Paolo Barolo Rocche dell Annunziata Riserva 1993 0,75 l",1,0.75,NULL
23463,"Terre del Barolo Barolo Castiglione Falletto 1997 0,75 l",1,0.75,NULL
23464,"Antinori Tignanello 1995 0,75 l",1,0.75,NULL
23465,"Schubert von, Carl Gutsverwaltung Maximin Grünhäuser Abtsberg Riesling Auslese 1989 0,375 l(1)",1,0.37,NULL
23466,"Perrier-Jouet Belle Epoque Brut 1989 0,75 l",NULL,0.75,NULL
23467,"Schubert von, Carl Gutsverwaltung Maximin Grünhäuser Abtsberg Riesling Spätlese 1989 0,375 l(1)",1,0.37,NULL
23468,"Graham´s Vintage Port 2000 0,75 l",1,0.75,1
23469,"Chateau d´Armailhac 2005 0,75 l(1)",1,0.75,1
23470,"Warrenmang Shiraz Black Puma 2000 1,5 l",1,1.5,NULL
23471,"Clos Saint Jean Chateauneuf-du-Pape 2008 0,75 l",1,0.75,1
23472,"Biondi Santi-Il Greppo Brunello di Montalcino 1987 0,75 l",1,0.75,NULL
23473,"Chateau Haut-Brion 2012 0,75 l",1,0.75,1
23474,"Chateau Lagrange 1988 0,75 l(1)",1,0.75,1
23475,"Graham´s Vintage Port Malvedos 1992 0,75 l",1,0.75,1
23476,"Mellasat White Pinotage 2018 0,75 l",1,0.75,NULL
23477,"Guigal, Etienne Cote Rotie La Mouline 1988 0,75 l",1,0.75,1
23478,"Ruinart Dom Ruinart Rosé Brut 1996 0,75 l",1,0.75,1
23479,"Chateau La Conseillante 1994 0,75 l",1,0.75,NULL
23480,"Chateau Palmer 1986 0,75 l",1,0.75,1
23481,"Chateau Palmer 1986 0,75 l",1,0.75,1
23482,"Chateau Bel Air 1996 0,75 l",1,0.75,NULL
23483,"Chateau d´ Yquem 1999 0,375 l",1,0.37,1
23484,"Chateau Mouton-Rothschild 1987 0,75 l",1,0.75,NULL
23485,"Erika Obermeyer Syrah-Grenach- Cinsault 2016 0,75 l",1,0.75,NULL
23665,"Chateau Lilian Ladouys 2000 0,75 l(12)",NULL,0.75,NULL
23488,"Chateau Leoville-Barton 2011 0,75 l",NULL,0.75,1
23489,"Weingut Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese 1990 0,5 l(1)",NULL,0.5,NULL
23490,"Chateau Filhot 1978 0,75 l(1)",NULL,0.75,NULL
23491,"Chateau Pichon Longueville Baron 1988 0,75 l",NULL,0.75,1
23492,"Weingut Müller-Catoir Haardter Mandelring Scheurebe Eiswein 2001 0,375 l",NULL,0.37,NULL
23493,"Chateau Palmer 1996 0,75 l",NULL,0.75,1
23494,"Chateau Siran 1998 0,75 l",NULL,0.75,NULL
23495,"Molitor, Markus Wehlener Sonnenuhr Riesling Spätlese Goldkapsel 2007 0,75 l(1)",NULL,0.75,NULL
23496,"Chateau Gazin 1975 0,75 l(1)",NULL,0.75,NULL
23497,"Chateau Trotanoy 1993 1,5 l",NULL,1.5,1
23498,"Weingut Dr. Heger Ihringer Winklen Rapenecker Weissburgunder Grosses Gewächs 2014 0,75 l",1,0.75,NULL
23499,"Blass, Wolf Cabernet Sauvignon  ""Black Label"" 1998 0,75 l",NULL,0.75,NULL
23500,"Ruinart Dom Ruinart Blanc de Blancs Brut 1996 0,75 l",1,0.75,1
23501,"Chateau La Haye 2009 0,75 l(1)",1,0.75,NULL
23502,"Haskell Vineyards Hades Syrah 2015 0,75 l",1,0.75,NULL
23503,"Haskell Vineyards Hades Syrah 2015 0,75 l",1,0.75,NULL
23504,"Chateau Palmer 1999 0,75 l",1,0.75,1
23505,"Hirtzberger, Franz Spitzer Honivogl Grüner Veltliner Smaragd 2012 1,5 l",1,1.5,1
23506,"Schäfer, Willi Graacher Domprobst Riesling Auslese 2004 0,75 l",1,0.75,NULL
23507,"Chateau Leoville-Barton 1998 1,5 l",1,1.5,1
23508,"Poderi Colla Barolo Bussia ""Dardi le Rose"" 2013 1,5 l",1,1.5,NULL
23509,"Chateau Mazeris 2000 0,75 l",1,0.75,NULL
23510,"Chateau Cantemerle 1999 0,75 l(4)",1,0.75,NULL
23511,"Freie Weingärtner Wachau Dürnsteiner Kellerberg Grüner Veltliner Smaragd 2008 0,75 l",1,0.75,NULL
23512,"Freie Weingärtner Wachau Loibenberg Riesling Federspiel  2008 0,75 l",1,0.75,NULL
23513,"Freie Weingärtner Wachau Weissenkirchner Achleiten Riesling Smaragd 2008 0,75 l",1,0.75,NULL
23514,"Chateau Coutet 2003 0,75 l",1,0.75,1
23515,"Boillot, Jean-Marc Montagny 1er Cru 2001 0,75 l(8)",1,0.75,NULL
23516,"Kilikanoon Shiraz Oracle 2006 0,75 l",1,0.75,1
23517,"Tement, Manfred Sauvignon Blanc Reserve Zieregg 1999 0,75 l",1,0.75,NULL
23518,"Moet & Chandon Dom Perignon Brut 1973 0,75 l",1,0.75,NULL
23519,"Roederer, Louis Cristal Brut 1970 0,75 l",1,0.75,NULL
23520,"Roederer, Louis Brut Premier NV 1,5 l",1,1.5,NULL
23521,"Chateau Mouton-Rothschild 1980 0,75 l",1,0.75,NULL
23522,"Chateau Mouton-Rothschild 1992 0,75 l",1,0.75,NULL
23523,"Chateau Clerc-Milon Rothschild 1992 0,75 l(1)",1,0.75,NULL
23524,"Chateau Haut Bages Monpelou 1995 0,75 l(2)",1,0.75,NULL
23525,"Römerhof Kollwentz Blaufränkisch Point 2008 0,75 l",1,0.75,NULL
23526,"Römerhof Kollwentz Blaufränkisch Point 2008 0,75 l",NULL,0.75,NULL
23527,"Römerhof Kollwentz Blaufränkisch Point 2008 0,75 l",NULL,0.75,NULL
23528,"Weingut Müller-Catoir Mußbacher Eselshaut Rieslaner Trockenbeerenauslese 2001 0,375 l",1,0.37,NULL
23529,"Pichler, F.X. Dürnsteiner Liebenberg Grüner Veltliner Smaragd 2017 1,5 l",1,1.5,1
23530,"Barthelme Blanck Muscat d´Alsace Tete de Cuvee 1984 0,75 l(1)",NULL,0.75,NULL
23531,"Chateau La Fleur Petrus 1987 0,75 l",1,0.75,NULL
23532,"Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewächs 2015 0,75 l",NULL,0.75,1
23533,"Rossignol, Nicolas Volnay Taillepieds 1er Cru 2006 1,5 l",1,1.5,1
23534,"Fürst von Metternich-Winneburg'sches Domänen Rentamt/ Schloß Johannisberg Schloß Johannisberg Riesling Eiswein 1985 0,375 l",NULL,0.37,NULL
23535,"Chateau Figeac 1986 0,75 l(4)",1,0.75,1
23536,"Chateau Gruaud-Larose 1992 0,75 l",1,0.75,NULL
23537,"Heymann Löwenstein Winninger Röttgen Riesling Trockenbeerenauslese 2005 0,375 l",1,0.37,1
23538,"Roederer, Louis Cristal Brut 1990 0,75 l",1,0.75,1
23539,"Taittinger Comtes de Champagne Blanc de Blanc Brut 1981 0,75 l",1,0.75,1
23540,"Taittinger Comtes de Champagne Blanc de Blanc Brut 1981 0,75 l",1,0.75,1
23541,"Taittinger Comtes de Champagne Rosé Brut 1983 0,75 l",1,0.75,NULL
23542,"Taittinger Comtes de Champagne Rosé Brut 1983 0,75 l",1,0.75,NULL
23543,"Taittinger Taittinger Brut Prestige Rosé NV 0,75 l",1,0.75,NULL
23544,"Taittinger Taittinger Brut Prestige Rosé NV 0,75 l",1,0.75,NULL
23545,"Taittinger Taittinger Brut Reserve NV 0,75 l",1,0.75,NULL
23546,"Taittinger Taittinger Brut Reserve NV 0,75 l",1,0.75,NULL
23547,"Taittinger Taittinger Brut Reserve NV 0,75 l",1,0.75,NULL
23548,"Il Molino di Grace Chianti Classico Gran Selezione Il Margone 2012 0,75 l",NULL,0.75,NULL
23550,"Il Molino di Grace Chianti Classico Riserva 2014 0,75 l",NULL,0.75,1
23551,"Chapoutier, Max Hermitage rouge 1990 0,75 l(1)",1,0.75,NULL
23552,"Chateau Talbot 1985 0,75 l",1,0.75,1
23553,"Weingut Igler Pinot Blanc 2017 0,75 l",1,0.75,NULL
23554,"Burlotto Barolo Vigneto Cannubi 2009 0,75 l",1,0.75,NULL
23555,"Mondavi Cabernet Sauvignon ""M"" 2009 0,75 l",1,0.75,1
23556,"Mondavi Cabernet Sauvignon ""M"" 2009 0,75 l",1,0.75,1
23557,"Mondavi Cabernet Sauvignon ""M"" 2009 0,75 l",NULL,0.75,1
23558,"Domaine de La Vieille Julienne Chateauneuf-du-Pape Cuvee Reserve 2000 0,75 l",NULL,0.75,1
23559,"Domaine de La Vieille Julienne Chateauneuf-du-Pape Vieilles Vignes 2000 0,75 l",NULL,0.75,1
23560,"Chateau Les Ormes De Pez 1996 0,75 l",1,0.75,NULL
23561,"Chateau Mouton-Rothschild 1990 0,75 l",1,0.75,NULL
23562,"Chateau Mouton-Rothschild 1990 0,75 l",1,0.75,NULL
23563,"Chateau Mouton-Rothschild 1990 0,75 l",1,0.75,NULL
23564,"Chateau La Lagune 1993 0,75 l(1)",1,0.75,NULL
23565,"Autreau de Champillon Blanc de Blancs 1er Cru Brut 1989 0,75 l",1,0.75,NULL
23566,"Autreau de Champillon Blanc de Blancs 1er Cru Brut 1989 0,75 l",NULL,0.75,NULL
23567,"Autreau de Champillon Blanc de Blancs 1er Cru Brut NV 0,75 l",NULL,0.75,NULL
23568,"Chateau La Croix de Gay 1990 0,75 l(1)",1,0.75,1
23569,"Case Basse di Gianfranco Soldera Brunello di Montalcino 1986 0,75 l",1,0.75,NULL
23570,"Chateau Mayne Lalande Chateau Mayne Lalande Grande Reserve 1995 0,75 l",1,0.75,NULL
23571,"Cambie, Philippe et Ferran Gilles Calendal Cotes du Rhone Pian de Dieu par 2010 0,75 l",1,0.75,NULL
23572,"Laboure-Roi Vosne Romanee ""Les Barreaux"" 1986 0,75 l(1)",1,0.75,NULL
23573,"Antinori Tignanello 2012 0,75 l",1,0.75,1
23574,"Roederer, Louis Cristal Brut 1999 0,75 l",1,0.75,1
23575,"Domaine la Milliere Chateauneuf-du-Pape Vieilles Vignes 2003 0,75 l",1,0.75,1
23576,"Chateau Haut-Brion Bahans Haut-Brion, 2e Vin de Haut-Brion 1990 0,75 l",1,0.75,NULL
23577,"Chateau Pontet-Canet 1989 0,75 l(1)",1,0.75,1
23578,"Moric Neckenmarkt Blaufränkisch Alte Reben 2003 0,75 l",1,0.75,1
23579,"Nittnaus Pannobile 2011 0,75 l",1,0.75,NULL
23580,"Nittnaus Pannobile 2011 0,75 l",NULL,0.75,NULL
23581,"Nittnaus Pannobile 2015 0,75 l",NULL,0.75,NULL
23582,"Nittnaus Pannobile 2015 0,75 l",1,0.75,NULL
23583,"Nittnaus Pannobile 2015 0,75 l",NULL,0.75,NULL
23584,"Nittnaus Ungerberg 2004 0,75 l",NULL,0.75,NULL
23585,"Nittnaus Ungerberg 2004 0,75 l",NULL,0.75,NULL
23586,"Römerhof Kollwentz Blaufränkisch Point 2008 0,75 l",NULL,0.75,NULL
23587,"Römerhof Kollwentz Blaufränkisch Point 2015 0,75 l",NULL,0.75,NULL
23588,"Jadot, Louis Chevalier-Montrachet Les Demoiselles Grand Cru 1998 0,75 l",NULL,0.75,1
23589,"Chateau Brane-Cantenac 1976 0,75 l(2)",NULL,0.75,NULL
23590,"Chateau Jean Voisin 2000 15,0 l",1,5,NULL
23591,"Chateau Pichon Longueville Baron 1996 0,75 l(1)",1,0.75,1
23592,"Kracher Chardonnay Nr. 4 Nouvelle Vague Trockenbeerenauslese 2010 0,375 l(1)",1,0.37,1
23593,"Gagnard Delagrange Batard-Montrachet Grand Cru 1988 0,75 l",1,0.75,NULL
23594,"Weingut Müller-Catoir Mußbacher Eselshaut Rieslaner Trockenbeerenauslese 1986 0,375 l",NULL,0.37,NULL
23595,"Chateau l´Angelus 2009 3,0 l",NULL,3,1
23596,"Autreau de Champillon Rose Brut 1er Cru NV 0,75 l",NULL,0.75,NULL
23597,"Chateau Mouton-Rothschild 2002 0,75 l",1,0.75,1
23598,"Chateau Lafite-Rothschild Carruades de Lafite, 2e Vin de Lafite-Rothschild 1995 0,75 l",1,0.75,NULL
23599,"Besserat de Bellefon Champagner Rosé Brut 1982 0,75 l",1,0.75,NULL
23600,"Chateau Lafite-Rothschild Carruades de Lafite, 2e Vin de Lafite-Rothschild 1988 0,75 l",1,0.75,NULL
23601,"Hirtzberger, Franz Spitzer Honivogl Grüner Veltliner Smaragd 2001 0,75 l",1,0.75,1
23602,"Chateau Lynch-Bages 1990 0,75 l",1,0.75,1
23603,"Chateau Lafite-Rothschild Carruades de Lafite, 2e Vin de Lafite-Rothschild 2004 0,75 l",1,0.75,NULL
23604,"Bodegas Senorio Gran Paulet Reserva 1979 0,5 l",NULL,0.5,NULL
23605,"Chateau Pichon Longueville Baron 1982 0,75 l",1,0.75,1
23606,"Chateau Brown 2006 0,75 l",NULL,0.75,NULL
23607,"Chateau Margaux 1988 0,75 l",1,0.75,1
23635,"Clos des Jacobins 1996 0,75 l",1,0.75,NULL
23608,"Antinori Solaia 2000 0,75 l",1,0.75,1
23609,"Chateau Pichon Longueville Comtesse de Lalande 2003 0,75 l",1,0.75,1
23610,"Oremus Tokaji Aszu 5 Puttonyos 1995 0,5 l",1,0.5,NULL
23611,"Chateau Petit Bocq 1998 0,75 l",1,0.75,NULL
23612,"Biondi Santi Schidione 2000 0,75 l",NULL,0.75,NULL
23613,"Biondi Santi Schidione 2000 0,75 l",NULL,0.75,NULL
23614,"Biondi Santi Schidione 2000 0,75 l",NULL,0.75,NULL
23615,"Chateau La Louviere Chateau La Louviere rouge 1978 0,75 l",1,0.75,NULL
23616,"Chateau Balestard la Tonelle 1986 0,75 l",1,0.75,NULL
23617,"Marques de Murrieta Castillo Ygay Gran Reserva Especial 1989 0,75 l(1)",1,0.75,1
23618,"Chateau Barde Haut 2009 1,5 l",1,1.5,1
23619,"Chateau Leoville-Barton 1998 0,75 l",1,0.75,1
23620,"Chateau Mouton-Rothschild 1966 0,75 l",NULL,0.75,1
23621,"Kongsgaard Syrah 2004 0,75 l",1,0.75,1
23622,"Chateau Trotanoy Esperance de Trotanoy 2010 0,75 l",1,0.75,NULL
23623,"Lisini Brunello di Montalcino Ugolaia 2004 0,75 l",NULL,0.75,1
23624,"Domaine de la Solitude Chateauneuf-du-Pape Reserve Secrete 2006 0,75 l",1,0.75,1
23625,"Mähler-Besse Cheval Noir 1995 0,75 l",NULL,0.75,NULL
23626,"Chateau l´Arrosee 2005 0,75 l",NULL,0.75,1
23627,"Chateau Cos d´Estournel 1994 0,75 l",1,0.75,1
