"id","auctiondate","sold","name","vintage","bottlesize_l","origin","winepoints","fill_level","state","packaging"
22103,"2020-05-01 00:00:00",1,"Autreau de Champillon Milliesime Brut  1993 0,75 l",1993,0.75,"Champagne",0,"0","0,5 cm","None"
21617,"2019-10-11 00:00:00",1,"The Wild Boys of Batonnage Club Batonnage 2013 0,75 l",2013,0.75,"Neusiedlersee",0,"1.5 cm","1,5 cm","lose"
21633,"2019-12-29 00:00:00",NULL,"Comte Georges de Vogue Musigny Vieilles Vignes Grand Cru 1990 0,375 l",1990,0.37,"Cote de Nuits",96,"1 cm","1 cm, Etikett beschädigt, verschmutzt","None"
21634,"2019-12-29 00:00:00",NULL,"Case Basse (Soldera) Brunello di Montalcino 1983 0,75 l",1983,0.75,"Toskana, Brunello di Montalcino",0,"ts","ts, Kapsel ganz leicht beschädigt","lose"
21635,"2019-12-29 00:00:00",1,"Chateau Musar Chateau Musar (rot) 1989 0,75 l",1989,0.75,"Libanon, Bekaa-Valley",0,"ts","ts, Etikett ganz leicht verschmutzt","None"
21636,"2019-12-29 00:00:00",1,"Veuve Clicquot Ponsardin Brut NV 3,0 l",0,3,"Champagne",0,"1 cm","1 cm, Etikett leicht beschädigt, ganz leicht verschmutzt, Kapsel ganz leicht beschädigt","lose"
21637,"2019-12-29 00:00:00",1,"Chateau Montrose 2005 0,75 l",2005,0.75,"Saint-Estephe, 2e Cru Classe",97,"in","in, Etikett ganz leicht verschmutzt","lose"
21638,"2019-02-17 00:00:00",1,"Stag's Leap Wine Cellars Cabernet Sauvignon ""Artemis"" 2013 0,75 l",2013,0.75,"Napa Valley",0,"in","in, Etiketten ganz leicht verschmutzt","None"
21639,"2019-02-17 00:00:00",1,"Chateau Latour Les Forts de Latour, 2e vin de Latour 1995 0,75 l",1995,0.75,"Pauillac",0,"in","in","None"
21640,"2019-02-17 00:00:00",1,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 2002 0,75 l",2002,0.75,"Margaux",0,"in","in, Etikett ganz leicht verschmutzt","lose"
21642,"2019-02-17 00:00:00",NULL,"Niepoort Colheita Port 1952 0,75 l",1952,0.75,"Douro",0,"ts","ts, Kapsel beschädigt","None"
21643,"2019-02-17 00:00:00",1,"Perrier-Jouet Belle Epoque 1999 0,75 l",1999,0.75,"Champagne",92,"1 cm","1 cm","None"
21644,"2019-02-17 00:00:00",1,"Veuve Clicquot Ponsardin La Grande Dame Brut 2006 0,75 l",2006,0.75,"Champagne",94,"0","0,5 cm","None"
21645,"2019-02-17 00:00:00",1,"Domaine de Chevalier   Domaine de Chevalier blanc 2004 0,75 l",2004,0.75,"Pessac-Leognan, Cru Classe",95,"in","in","None"
21646,"2019-02-17 00:00:00",1,"Kühn, Peter Jakob Oestricher Doosberg Riesling Erstes Gewächs 2005 0,75 l(1)",2005,0.75,"Rheingau",0,"0","0,5 cm","None"
21647,"2019-02-17 00:00:00",NULL,"Jadot, Louis Gevrey Chambertin Clos St. Jacques 1er Cru 1994 0,75 l",1994,0.75,"Cote de Nuits",0,"2 cm","2 cm, Etiketten ganz leicht beschädigt","None"
21648,"2020-05-01 00:00:00",1,"Jaboulet Aine, Paul Hermitage La Chapelle 1998 0,75 l",1998,0.75,"Rhone",96,"1,5 cm","1,5 cm, Etiketten verschmutzt","None"
21649,"2020-05-01 00:00:00",1,"Castello dei Rampolla Sammarco 1997 0,75 l",1997,0.75,"Toskana, V.d.T.",95,"in-ts","in-ts","None"
21650,"2020-05-01 00:00:00",1,"Chateau Lafite-Rothschild 1989 0,75 l",1989,0.75,"Pauillac, 1er Cru Classe",90,"in","in","None"
21651,"2020-05-01 00:00:00",1,"Weingut von Winning Kalkofen Riesling Grosses Gewächs 2011 0,75 l",2011,0.75,"Pfalz",0,"0,5 cm","0,5 cm, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt","None"
21652,"2020-05-01 00:00:00",1,"Knoll, Emmerich Loibner Loibenberg Grüner Veltliner Smaragd 2010 0,75 l",2010,0.75,"Wachau",0,"0,5 cm","0,5 cm, Etiketten ganz leicht beschädigt","None"
21653,"2020-05-01 00:00:00",NULL,"Dönnhoff Niederhäuser Hermannshöhle Riesling Grosses Gewächs 2009 0,75 l",2009,0.75,"Nahe",93,"0","0,5 cm","None"
21654,"2020-05-01 00:00:00",1,"Henschke Hill of Grace Vineyard Shiraz 1999 0,75 l",1999,0.75,"Eden Valley",97,"in","in, Etikett ganz leicht beschädigt","None"
21655,"2020-05-01 00:00:00",1,"Bischöfliches Priesterseminar Kanzemer Altenberg Riesling Auslese 1976 0,75 l(1)",1976,0.75,"Mosel-Saar-Ruwer",0,"0,5 cm","0,5 cm, Etikett ganz leicht verschmutzt","None"
21656,"2020-05-01 00:00:00",1,"Chateau Clerc-Milon Rothschild 2009 0,75 l",2009,0.75,"Pauillac, 5e Cru Classe",93,"in","in","None"
21657,"2020-05-01 00:00:00",1,"Chateau Palmer 1992 0,75 l",1992,0.75,"Margaux, 3e Cru Classe",0,"hf-in","hf-in, Etikett ganz leicht beschädigt","None"
21658,"2019-05-19 00:00:00",NULL,"Pichler, F.X. Dürnsteiner Liebenberg Grüner Veltliner Smaragd 2017 1,5 l",2017,1.5,"Wachau",93,"0","0,5 cm","None"
21659,"2019-05-19 00:00:00",NULL,"Chateau Rayas Fonsalette Syrah Reserve 1998 0,75 l",1998,0.75,"Rhone",91,"0,5 cm","0,5 cm, Etikett ganz leicht verschmutzt","None"
21660,"2019-05-19 00:00:00",NULL,"Jadot, Louis Chevalier-Montrachet Les Demoiselles Grand Cru 1998 0,75 l",1998,0.75,"Cote de Beaune",89,"0","0,5 cm","None"
21661,"2019-05-19 00:00:00",NULL,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 1996 0,75 l",1996,0.75,"Margaux",0,"in","in, Etikett ganz leicht verschmutzt","None"
21662,"2019-05-19 00:00:00",NULL,"Chateau Palmer 1995 0,75 l",1995,0.75,"Margaux, 3e Cru Classe",90,"hf-in","hf-in","None"
21663,"2019-05-19 00:00:00",NULL,"Chateau Lafite-Rothschild 1995 0,75 l",1995,0.75,"Pauillac, 1er Cru Classe",95,"hf-in","hf-in","None"
21664,"2019-05-19 00:00:00",NULL,"Chateau Mouton-Rothschild 1990 0,75 l",1990,0.75,"Pauillac, 1er Cru Classe",0,"ts","ts, Etikett ganz leicht verschmutzt, Kapsel ganz leicht beschädigt","None"
21665,"2019-05-19 00:00:00",NULL,"Bertani Recioto della Valpolocella Clasico Superiore 1967 0,75 l(1)",1967,0.75,"Venetien",0,"3 cm","3 cm, Etikett ganz leicht verschmutzt","None"
21666,"2019-05-19 00:00:00",NULL,"Ferrand, Pierre Cognac Grande Champagne Cigare Reserve Havana 1er Cru NV 0,7 l",0,0.7,"Cognac",0,"1 cm","1 cm","1er OC"
21667,"2019-05-19 00:00:00",NULL,"Clos de L´Oratoire 2000 0,75 l",2000,0.75,"Saint-Emilion, Grand Cru",92,"in","in, Etiketten ganz leicht verschmutzt","None"
21668,"2020-05-04 00:00:00",1,"Sattlerhof Sernauberg Sauvignon Blanc 2008 0,75 l",2008,0.75,"Südsteiermark",0,"in","in","None"
21669,"2020-05-04 00:00:00",1,"Leflaive, Olivier Puligny-Montrachet Les Pucelles 1er Cru 2005 1,5 l",2005,1.5,"Cote de Beaune",92,"0,5 cm","0,5 cm, Etikett ganz leicht verschmutzt","None"
21670,"2020-05-04 00:00:00",1,"Masi Amarone della Valpolicella Classico 1996 0,75 l",1996,0.75,"Venetien",0,"1 cm","1 cm","None"
21671,"2020-05-04 00:00:00",NULL,"Blankiet Paradise Hills Vineyard ""Prince of Hearts"" 2012 0,75 l",2012,0.75,"Napa Valley",0,"in","in","None"
21672,"2020-05-04 00:00:00",NULL,"Schäfer, Willi Graacher Domprobst Riesling Auslese 2004 0,75 l",2004,0.75,"Mosel-Saar-Ruwer",0,"0,5 cm","0,5 cm, Etiketten ganz leicht verschmutzt","None"
21673,"2020-05-04 00:00:00",1,"Haskell Vineyards Anvil Chardonnay 2018 0,75 l",2018,0.75,"Stellenbosch, Helderberg Mountain Road",0,"0","0,5 cm","lose"
21674,"2020-05-04 00:00:00",1,"Bodegas Gallego Zapatero Yotuel Finca La Nava 2010 0,75 l",2010,0.75,"Ribera del Duero",0,"1 cm","1 cm, Etiketten ganz leicht verschmutzt","None"
21675,"2020-05-04 00:00:00",NULL,"Domaine des Comtes Lafon Le Montrachet Grand Cru 1985 0,75 l",1985,0.75,"Cote de Beaune",0,"4,5 cm","4,5 cm, Kapsel ganz leicht beschädigt","None"
21676,"2020-05-04 00:00:00",NULL,"Mondavi Cabernet Sauvignon ""M"" 2009 0,75 l",2009,0.75,"Napa Valley",91,"in","in","None"
21677,"2020-05-04 00:00:00",1,"Burlotto Barolo Monvigliero 2010 0,75 l",2010,0.75,"Piemont",90,"in","in, Etikett ganz leicht verschmutzt","lose"
21678,"2020-05-17 00:00:00",1,"Domaine Weinbach/Faller, Colette Gewürztraminer Mambourg Vendanges Tardives 2001 0,75 l",2001,0.75,"Elsaß",93,"0","0,5 cm","None"
21679,"2020-05-17 00:00:00",NULL,"Druk-My-Niet Cabernet-Sauvignon 2014 0,75 l",2014,0.75,"Paarl",0,"in","in","None"
21680,"2020-05-17 00:00:00",1,"Knoll, Emmerich Dürnsteiner Schütt Riesling Smaragd 1999 0,75 l",1999,0.75,"Wachau",93,"0,5 cm","0,5 cm, Etikett ganz leicht beschädigt","None"
21681,"2020-05-17 00:00:00",1,"Domaine Ponsot Griotte Chambertin Grand Cru 1996 0,75 l",1996,0.75,"Cote de Nuits",0,"1,5 cm","1,5 cm, Etikett ganz leicht beschädigt, ganz leicht verschmutzt","None"
21682,"2020-05-17 00:00:00",1,"Moet & Chandon Dom Perignon Brut 1966 0,75 l",1966,0.75,"Champagne",0,"1,5 cm","1,5 cm, Etikett leicht beschädigt, ganz leicht verschmutzt, Kapsel ganz leicht beschädigt","lose"
21683,"2020-05-17 00:00:00",1,"Prieur, Jacques Le Montrachet Grand Cru 2003 0,75 l",2003,0.75,"Cote de Beaune",0,"1 cm","1 cm","None"
21684,"2020-05-17 00:00:00",1,"Weingut von Winning Sauvignon Blanc ""500"" 2013 0,75 l",2013,0.75,"Pfalz",0,"0","0,5 cm","None"
21685,"2020-05-17 00:00:00",1,"Poggio di Sotto Brunello di Montalcino 2010 0,75 l",2010,0.75,"Toskana",95,"in-ts","in-ts","None"
21686,"2020-05-17 00:00:00",1,"Haskell Vineyards Anvil Chardonnay 2018 0,75 l",2018,0.75,"Stellenbosch, Helderberg Mountain Road",0,"1 cm","1 cm","None"
21687,"2020-05-17 00:00:00",1,"Bodegas Gallego Zapatero Yotuel Finca La Nava 2010 0,75 l",2010,0.75,"Ribera del Duero",0,"0","0,5 cm","None"
21715,"2020-02-16 00:00:00",1,"Berthaut, V. & D. Gevrey Chambertin Clos des Chezeaux 1er Cru 1995 0,75 l",1995,0.75,"Cote de Nuits",0,"2 cm","2 cm, Etiketten ganz leicht verschmutzt","lose"
22161,"2020-08-11 00:00:00",NULL,"Kalleske Shiraz ""Johann Georg"" Old Vine 2014 0,75 l",2014,0.75,"Barossa Valley",0,"in","in","1er OC"
21688,"2019-04-08 00:00:00",1,"Bryant Family Cabernet Sauvignon 1996 0,75 l",1996,0.75,"Napa Valley",99,"in-ts","in-ts, Etikett ganz leicht verschmutzt","None"
21689,"2019-04-08 00:00:00",1,"Chateau Margaux Pavillon Blanc 1998 0,75 l",1998,0.75,"Margaux",91,"in","in, Etiketten ganz leicht verschmutzt","None"
21690,"2019-04-08 00:00:00",1,"Pichler, F.X. Loibner Berg Riesling Smaragd 2001 0,75 l",2001,0.75,"Wachau",0,"1 cm","1 cm, Etiketten beschädigt, ganz leicht verschmutzt, Zusatzaufkleber","None"
21691,"2019-04-08 00:00:00",1,"Grosset Polish Hill Riesling  2001 0,75 l",2001,0.75,"Australien, Clare Valley",93,"0,5 cm","0,5 cm, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt, Zusatzaufkleber","None"
21692,"2019-04-08 00:00:00",1,"Salon Le Mesnil Blanc de Blancs Grand Cru Brut 1988 0,75 l",1988,0.75,"Champagne",0,"0,5 cm","0,5 cm, Etikett stark beschädigt, ganz leicht verschmutzt","None"
