"id","name","winepoints_signalled","packaging_signalled","vintage_signalled","bottlesize_signalled","origin_signalled","fill_level_signalled","state_signalled","min_price_signalled","max_price_signalled","sold","price","minimum_price","maximum_price"
26327,"Weingut Keller Westhofen Abtserde Riesling Grosses Gewächs 2017 0,75 l",NULL,1,1,1,1,1,1,1,1,1,"190","190","380"
26328,"Ökonomierat Rebholz Siebeldinger Im Sonnenschein Spätburgunder Spätlese trocken 1994 1,5 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","180","360"
26329,"Weingut Müller-Catoir Haardter Bürgergarten Riesling Eiswein 1999 0,375 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","70","145"
26330,"Chateau Tour de Pez 1998 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"100","90","180"
26331,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 2000 0,75 l",1,1,1,1,1,1,1,1,1,1,"140","120","240"
26332,"Frescobaldi - Mondavi Luce 2004 0,75 l",1,1,1,1,1,1,1,1,1,1,"220","210","420"
26333,"Conterno, Giacomo Barolo Francia Serralunga 1979 0,75 l",NULL,1,1,1,1,1,1,1,1,1,"170","170","340"
26334,"Bodegas Inviosa Tinto Reserva 1987 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"65","55","110"
26335,"Ornellaia 1994 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"115","85","170"
26336,"Chateau Pichon Longueville Baron 1999 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"130","120","240"
26337,"Chateau La Clemence 2011 0,75 l",NULL,1,1,1,1,1,1,1,1,NULL,"0","240","480"
26338,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 2006 0,75 l",NULL,1,1,1,1,1,1,1,1,1,"80","80","160"
26339,"San Giusto a Rentennano Percarlo 2005 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"250","210","420"
26340,"Chateau de Fonbel 1990 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","150","300"
26341,"Chateau Lafite-Rothschild 1982 0,75 l",1,1,1,1,1,1,1,1,1,NULL,"0","1.32","2.64"
26342,"Cascina Bruni Barolo Marialunga  1998 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","30","60"
26343,"Dartigalongue, Pascal Bas Armagnac 1950 0,7 l",NULL,1,1,1,1,1,1,1,1,NULL,"0","150","300"
26344,"Chateau Le Tertre-Roteboeuf 1995 1,5 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","250","495"
26345,"Jost, Toni Wallufer Walkenberg Riesling Eiswein 1998 0,5 l",NULL,NULL,1,1,1,1,1,1,1,1,"100","90","180"
26346,"Chateau Potensac 1990 0,75 l",NULL,1,1,1,1,1,1,1,1,1,"300","300","600"
26347,"Clos des Jacobins 1998 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","120","240"
26348,"Cerbaiona di Diego Molinari Brunello di Montalcino 2005 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","210","420"
26349,"Jadot, Louis Chevalier-Montrachet Les Demoiselles Grand Cru 1998 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","250","500"
26350,"Chateau Pichon Longueville Comtesse de Lalande 2003 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"230","160","320"
26351,"Chateau L´If 2012 0,75 l",1,1,1,1,1,1,1,1,1,1,"740","720","1.2"
26352,"Chateau L´If 2014 0,75 l",1,1,1,1,1,1,1,1,1,1,"740","720","1.44"
26353,"Chateau Cantemerle 1996 0,75 l(1)",NULL,NULL,1,1,1,1,1,1,1,1,"250","125","250"
26354,"Cerbaiona di Diego Molinari Brunello di Montalcino 2005 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","210","420"
26541,"Weingut Keller Riesling G-Max 2012 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","1.25","2.3"
26355,"Penfolds Cabernet Sauvignon Bin 707 2009 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"240","240","480"
26356,"Alzinger, Leo Loibner Steinertal Grüner Veltliner Smaragd 2018 1,5 l",1,NULL,1,1,1,1,1,1,1,1,"135","135","270"
26357,"Chateau Margaux 1989 0,75 l",1,1,1,1,1,1,1,1,1,1,"4.34","3.84","7.68"
26358,"Savart, Frederic Annee 1er Cru Extra Brut 2011 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"75","75","150"
26359,"Domaine Jean Grivot Nuits Saint Georges ""Ronciere"" 1er Cru 2006 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"120","100","200"
