"id","name","winepoints_signalled","sold","winepoints"
21644,"Veuve Clicquot Ponsardin La Grande Dame Brut 2006 0,75 l",1,1,94
21645,"Domaine de Chevalier   Domaine de Chevalier blanc 2004 0,75 l",1,1,95
21646,"Kühn, Peter Jakob Oestricher Doosberg Riesling Erstes Gewächs 2005 0,75 l(1)",NULL,1,0
21647,"Jadot, Louis Gevrey Chambertin Clos St. Jacques 1er Cru 1994 0,75 l",NULL,NULL,0
21648,"Jaboulet Aine, Paul Hermitage La Chapelle 1998 0,75 l",1,1,96
21649,"Castello dei Rampolla Sammarco 1997 0,75 l",1,1,95
21650,"Chateau Lafite-Rothschild 1989 0,75 l",1,1,90
21651,"Weingut von Winning Kalkofen Riesling Grosses Gewächs 2011 0,75 l",NULL,1,0
21652,"Knoll, Emmerich Loibner Loibenberg Grüner Veltliner Smaragd 2010 0,75 l",NULL,1,0
21653,"Dönnhoff Niederhäuser Hermannshöhle Riesling Grosses Gewächs 2009 0,75 l",1,NULL,93
21654,"Henschke Hill of Grace Vineyard Shiraz 1999 0,75 l",1,1,97
21655,"Bischöfliches Priesterseminar Kanzemer Altenberg Riesling Auslese 1976 0,75 l(1)",NULL,1,0
21656,"Chateau Clerc-Milon Rothschild 2009 0,75 l",1,1,93
21657,"Chateau Palmer 1992 0,75 l",NULL,1,0
21658,"Pichler, F.X. Dürnsteiner Liebenberg Grüner Veltliner Smaragd 2017 1,5 l",1,NULL,93
21659,"Chateau Rayas Fonsalette Syrah Reserve 1998 0,75 l",1,NULL,91
21660,"Jadot, Louis Chevalier-Montrachet Les Demoiselles Grand Cru 1998 0,75 l",1,NULL,89
21661,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 1996 0,75 l",NULL,NULL,0
21662,"Chateau Palmer 1995 0,75 l",1,NULL,90
21663,"Chateau Lafite-Rothschild 1995 0,75 l",1,NULL,95
21664,"Chateau Mouton-Rothschild 1990 0,75 l",NULL,NULL,0
21665,"Bertani Recioto della Valpolocella Clasico Superiore 1967 0,75 l(1)",NULL,NULL,0
21666,"Ferrand, Pierre Cognac Grande Champagne Cigare Reserve Havana 1er Cru NV 0,7 l",NULL,NULL,0
21667,"Clos de L´Oratoire 2000 0,75 l",1,NULL,92
21668,"Sattlerhof Sernauberg Sauvignon Blanc 2008 0,75 l",NULL,1,0
